=== cnn_davis_regB_attn_h4_s7 | device=cuda:0 | pool=attn | head_dim=1024 | head_layers=2 | seed=7 | embed_dim=128 ===
Trainable parameters: 847,217
[cnn_davis_regB_attn_h8_s7] epoch  65 |   4.2s | train_mse 0.3256 | test MSE 0.3576 CI 0.8540 rm2 0.5248 Pearson 0.7525 balAcc 0.7436
[cnn_davis_regB_attn_h8_s7] epoch  70 |   4.2s | train_mse 0.3156 | test MSE 0.3333 CI 0.8660 rm2 0.5781 Pearson 0.7687 balAcc 0.7334
[cnn_davis_regB_attn_h8_s7] epoch  75 |   4.2s | train_mse 0.3078 | test MSE 0.3321 CI 0.8595 rm2 0.5665 Pearson 0.7726 balAcc 0.6928
[cnn_davis_regB_attn_h8_s7] epoch  80 |   4.2s | train_mse 0.2893 | test MSE 0.3687 CI 0.8660 rm2 0.5952 Pearson 0.7774 balAcc 0.7621
[cnn_davis_regB_attn_h8_s7] epoch  85 |   4.2s | train_mse 0.2798 | test MSE 0.3329 CI 0.8672 rm2 0.5978 Pearson 0.7866 balAcc 0.7751
[cnn_davis_regB_attn_h8_s7] epoch  90 |   4.2s | train_mse 0.2790 | test MSE 0.3090 CI 0.8701 rm2 0.6202 Pearson 0.7902 balAcc 0.7085
[cnn_davis_regB_attn_h8_s7] epoch  95 |   4.2s | train_mse 0.2651 | test MSE 0.3186 CI 0.8679 rm2 0.6115 Pearson 0.7965 balAcc 0.7166
[cnn_davis_regB_attn_h8_s7] epoch 100 |   4.2s | train_mse 0.2606 | test MSE 0.2862 CI 0.8733 rm2 0.6363 Pearson 0.8021 balAcc 0.7559

=== BEST [cnn_davis_regB_attn_h8_s7] === epoch 85 | MSE 0.3329 | CI 0.8672 | rm2 0.5978
params 847,217 | mean 4.2s/epoch | total 7.0 min
